sequence,filename,filter,cutoff,order,psnr,ssim,time_ms
GOPR0372_07_00,000047.png,butterworth_hpf,30.0,2,5.177350390255436,0.049553932156442944,634.0896000001521
GOPR0372_07_00,000048.png,butterworth_hpf,30.0,2,5.201562694655176,0.04773515512463756,588.9717999998538
GOPR0372_07_00,000049.png,butterworth_hpf,30.0,2,5.12112026893996,0.04878300961184262,622.6456999975198
GOPR0372_07_00,000050.png,butterworth_hpf,30.0,2,5.094256719651877,0.051718705128722016,615.8957999978156
GOPR0372_07_00,000051.png,butterworth_hpf,30.0,2,5.186402526069304,0.05052439071836282,627.2721000023012
GOPR0372_07_00,000052.png,butterworth_hpf,30.0,2,5.4765592767811535,0.05475992056757593,658.2971000025282
GOPR0372_07_00,000053.png,butterworth_hpf,30.0,2,5.693748052170217,0.058152133760003326,648.7927000016498
GOPR0372_07_00,000054.png,butterworth_hpf,30.0,2,5.906963902691228,0.04777426627225608,584.3235000029381
GOPR0372_07_00,000055.png,butterworth_hpf,30.0,2,6.27356723922013,0.06646260388124392,528.6496000007901
GOPR0372_07_00,000056.png,butterworth_hpf,30.0,2,6.2946710258940115,0.0591104827922111,534.3554999999469
GOPR0372_07_00,000057.png,butterworth_hpf,30.0,2,6.346289231444819,0.06473526523420352,545.4098000009253
GOPR0372_07_00,000058.png,butterworth_hpf,30.0,2,6.457833003067405,0.046792267374615885,586.9947999999567
GOPR0372_07_00,000059.png,butterworth_hpf,30.0,2,6.684216223718252,0.06209994467905856,580.5913000003784
GOPR0372_07_00,000060.png,butterworth_hpf,30.0,2,6.772116446705766,0.0598059249516301,572.5951000022178
GOPR0372_07_00,000061.png,butterworth_hpf,30.0,2,6.749491299176762,0.06691383679015157,583.2682000000204
GOPR0372_07_00,000062.png,butterworth_hpf,30.0,2,6.6608214251198135,0.0420744614604644,584.6334000016213
GOPR0372_07_00,000063.png,butterworth_hpf,30.0,2,6.769200281656744,0.04724644498075309,582.8713999981119
GOPR0372_07_00,000064.png,butterworth_hpf,30.0,2,6.64749401551345,0.04667293841475929,597.0214000008127
GOPR0372_07_00,000065.png,butterworth_hpf,30.0,2,6.1967773639346015,0.03939530956837367,569.2314000007173
GOPR0372_07_00,000066.png,butterworth_hpf,30.0,2,5.8120973997283105,0.0298233419614783,583.9434000008623
GOPR0372_07_00,000067.png,butterworth_hpf,30.0,2,5.598185575969016,0.03709150274754074,596.4956999996502
GOPR0372_07_00,000068.png,butterworth_hpf,30.0,2,5.3219177741387504,0.03552958060589631,568.3026000006066
GOPR0372_07_00,000069.png,butterworth_hpf,30.0,2,5.260722174550088,0.033680871073343666,571.0623999984819
GOPR0372_07_00,000070.png,butterworth_hpf,30.0,2,5.6836216451361405,0.029863233645194578,570.0105000032636
GOPR0372_07_00,000071.png,butterworth_hpf,30.0,2,6.349253049875187,0.06386802188574679,611.5471999983129
GOPR0372_07_00,000072.png,butterworth_hpf,30.0,2,6.102483665062913,0.039393889160022434,597.69999999844
GOPR0372_07_00,000073.png,butterworth_hpf,30.0,2,6.101272185189676,0.058248004751841755,540.073799998936
GOPR0372_07_00,000074.png,butterworth_hpf,30.0,2,6.2249985222704804,0.07714869749729726,550.779600001988
GOPR0372_07_00,000075.png,butterworth_hpf,30.0,2,5.9845237203357815,0.04818094602277987,617.1729999987292
GOPR0372_07_00,000076.png,butterworth_hpf,30.0,2,5.733741446034921,0.034516902643232504,608.720500000345
GOPR0372_07_00,000077.png,butterworth_hpf,30.0,2,5.7368134312073815,0.05456017296893547,552.2557000003872
GOPR0372_07_00,000078.png,butterworth_hpf,30.0,2,5.858485438139088,0.060108842193449315,577.6796999998624
GOPR0372_07_00,000079.png,butterworth_hpf,30.0,2,5.753157292000802,0.05161641084094337,614.0051000002131
GOPR0372_07_00,000080.png,butterworth_hpf,30.0,2,5.668619351236258,0.05245832845655426,614.958199999819
GOPR0372_07_00,000081.png,butterworth_hpf,30.0,2,5.666078549680062,0.02665179653252837,635.0024999992456
GOPR0372_07_00,000082.png,butterworth_hpf,30.0,2,6.046435458504633,0.03219980097544275,603.367600000638
GOPR0372_07_00,000083.png,butterworth_hpf,30.0,2,6.35186750463138,0.05010447431008589,579.0083000028972
GOPR0372_07_00,000084.png,butterworth_hpf,30.0,2,6.512017155013263,0.072044967975859,605.134099998395
GOPR0372_07_00,000085.png,butterworth_hpf,30.0,2,6.333116999591136,0.053282002017226916,557.4357000004966
GOPR0372_07_00,000086.png,butterworth_hpf,30.0,2,6.242437451300131,0.04074926404566836,586.4548999998078
GOPR0372_07_00,000087.png,butterworth_hpf,30.0,2,6.541135733046359,0.03773925964342887,578.8434000023699
GOPR0372_07_00,000088.png,butterworth_hpf,30.0,2,6.7002770564837375,0.050600774209908016,559.4442000001436
GOPR0372_07_00,000089.png,butterworth_hpf,30.0,2,6.39900125746386,0.04106755156979148,611.8679999999586
GOPR0372_07_00,000090.png,butterworth_hpf,30.0,2,6.263822506798983,0.03681599767890429,590.081199999986
GOPR0372_07_00,000091.png,butterworth_hpf,30.0,2,6.113509163666051,0.03336328595661328,586.7975000001024
GOPR0372_07_00,000092.png,butterworth_hpf,30.0,2,6.075028561210432,0.02966250566342893,624.7451999988698
GOPR0372_07_00,000093.png,butterworth_hpf,30.0,2,6.1641837092891185,0.02726549365504897,600.5850000001374
GOPR0372_07_00,000094.png,butterworth_hpf,30.0,2,6.670620672227747,0.02342074144696571,609.0045000019018
GOPR0372_07_00,000095.png,butterworth_hpf,30.0,2,7.008187325402899,0.03134792562422616,591.7257000000973
GOPR0372_07_00,000096.png,butterworth_hpf,30.0,2,7.079212129073804,0.034657056436682765,563.361000000441
GOPR0372_07_00,000097.png,butterworth_hpf,30.0,2,7.0119654819224175,0.03980277488559022,591.7246000026353
GOPR0372_07_00,000098.png,butterworth_hpf,30.0,2,6.803476745625177,0.03305178197465828,644.7719000025245
GOPR0372_07_00,000099.png,butterworth_hpf,30.0,2,6.7385781721560365,0.02971535846089152,601.831799998763
GOPR0372_07_00,000100.png,butterworth_hpf,30.0,2,6.763283490838906,0.026910180734419614,623.3151999986148
GOPR0372_07_00,000101.png,butterworth_hpf,30.0,2,6.704876046353917,0.026620175650864362,583.037599997624
GOPR0372_07_00,000102.png,butterworth_hpf,30.0,2,6.4376536465225165,0.019494469786092067,591.4057999980287
GOPR0372_07_00,000103.png,butterworth_hpf,30.0,2,6.465694657803599,0.03807347787165493,616.5091000002576
GOPR0372_07_00,000104.png,butterworth_hpf,30.0,2,6.417683343106548,0.03275319082033316,623.0138999999326
GOPR0372_07_00,000105.png,butterworth_hpf,30.0,2,6.452071664752188,0.032697321886209045,598.8484000008611
GOPR0372_07_00,000106.png,butterworth_hpf,30.0,2,6.454598964710594,0.02820550439988502,616.3214999978663
GOPR0372_07_00,000107.png,butterworth_hpf,30.0,2,6.385528593772087,0.02411979755316915,570.7800000018324
GOPR0372_07_00,000108.png,butterworth_hpf,30.0,2,6.2289216579055084,0.025204389444220505,543.187899998884
GOPR0372_07_00,000109.png,butterworth_hpf,30.0,2,6.256163786379418,0.03367407187759442,537.6918000001751
GOPR0372_07_00,000110.png,butterworth_hpf,30.0,2,6.429317753460887,0.05726748637717233,605.5807000011555
GOPR0372_07_00,000111.png,butterworth_hpf,30.0,2,6.4137759823743465,0.04428575590637716,521.1186999986239
GOPR0372_07_00,000112.png,butterworth_hpf,30.0,2,6.378323706089456,0.037890250019522446,563.9321000016935
GOPR0372_07_00,000113.png,butterworth_hpf,30.0,2,6.526421815644909,0.03250663169334877,554.0747000013653
GOPR0372_07_00,000114.png,butterworth_hpf,30.0,2,6.947990254468614,0.03441348071045091,532.3314999986906
GOPR0372_07_00,000115.png,butterworth_hpf,30.0,2,7.222602022281462,0.03452646965025067,537.0352999998431
GOPR0372_07_00,000116.png,butterworth_hpf,30.0,2,7.484595111604904,0.03945375763261331,528.844399999798
GOPR0372_07_00,000117.png,butterworth_hpf,30.0,2,7.616117360840126,0.05366489449412937,539.8047000016959
GOPR0372_07_00,000118.png,butterworth_hpf,30.0,2,7.581283378294512,0.05811585937567295,557.1138000013889
GOPR0372_07_00,000119.png,butterworth_hpf,30.0,2,7.38757689606795,0.037996318111387394,538.9273000000685
GOPR0372_07_00,000120.png,butterworth_hpf,30.0,2,7.275175865508369,0.029145382661687726,610.7974999977159
GOPR0372_07_00,000121.png,butterworth_hpf,30.0,2,7.243279499951047,0.032796961866747486,582.7205999994476
GOPR0372_07_00,000122.png,butterworth_hpf,30.0,2,7.208655554202488,0.04244911497890691,606.9303999975091
GOPR0372_07_00,000123.png,butterworth_hpf,30.0,2,7.126120689413274,0.0353113795478898,593.2893999997759
GOPR0372_07_00,000124.png,butterworth_hpf,30.0,2,7.1300930407360505,0.036323007409985085,544.6387999982107
GOPR0372_07_00,000125.png,butterworth_hpf,30.0,2,7.129658607490991,0.03435878940392207,578.4350000030827
GOPR0372_07_00,000126.png,butterworth_hpf,30.0,2,7.097239841213679,0.029095841790230115,576.1474999999336
GOPR0372_07_00,000127.png,butterworth_hpf,30.0,2,7.130466865078762,0.026528530725490607,564.1967999981716
GOPR0372_07_00,000128.png,butterworth_hpf,30.0,2,7.310100362190384,0.032299016675408666,578.4500000008848
GOPR0372_07_00,000129.png,butterworth_hpf,30.0,2,7.334711804609101,0.032175538468822595,565.5526999980793
GOPR0372_07_00,000130.png,butterworth_hpf,30.0,2,7.384886183716915,0.04675524617441409,595.5936000027577
GOPR0372_07_00,000131.png,butterworth_hpf,30.0,2,7.213588279769972,0.03111486603287807,586.3213000011456
GOPR0372_07_00,000132.png,butterworth_hpf,30.0,2,7.287051576940735,0.053601481743417605,530.1852000011422
GOPR0372_07_00,000133.png,butterworth_hpf,30.0,2,7.17835037951359,0.04968700807008678,522.8977000006125
GOPR0372_07_00,000134.png,butterworth_hpf,30.0,2,6.904495025634107,0.03130127277755731,548.9164000027813
GOPR0372_07_00,000135.png,butterworth_hpf,30.0,2,6.57859907631787,0.022306446146581168,628.3839999996417
GOPR0372_07_00,000136.png,butterworth_hpf,30.0,2,6.364261049930481,0.018799524499798062,575.4310000011174
GOPR0372_07_00,000137.png,butterworth_hpf,30.0,2,6.000008031748605,0.017906497655958666,589.7521000006236
GOPR0372_07_00,000138.png,butterworth_hpf,30.0,2,5.738955882495498,0.02511499881651609,617.4408000006224
GOPR0372_07_00,000139.png,butterworth_hpf,30.0,2,5.62188721490096,0.027077834274140188,605.7830999998259
GOPR0372_07_00,000140.png,butterworth_hpf,30.0,2,5.373850633423424,0.014587089689740726,569.7918999976537
GOPR0372_07_00,000141.png,butterworth_hpf,30.0,2,5.296414087498517,0.015528928393300235,625.8114000011119
GOPR0372_07_00,000142.png,butterworth_hpf,30.0,2,5.3678593003984165,0.03113935525042666,594.183700002759
GOPR0372_07_00,000143.png,butterworth_hpf,30.0,2,5.265098569473383,0.016179488503565577,577.2767000016756
GOPR0372_07_00,000144.png,butterworth_hpf,30.0,2,5.251416861293569,0.013670296793793668,603.3855999994557
GOPR0372_07_00,000145.png,butterworth_hpf,30.0,2,5.059690590795531,0.013865097114525918,539.8564000024635
GOPR0372_07_00,000146.png,butterworth_hpf,30.0,2,5.023153990902093,0.014635929904288617,577.9035000014119
