sequence,filename,kernel_length,kernel_angle,psnr,ssim,time_ms
GOPR0372_07_00,000047.png,13,105.0,5.103900350780367,0.020280630229997494,787711.323800002
GOPR0372_07_00,000048.png,13,80.0,5.027265316089359,0.019405331280806133,815447.8557000002
GOPR0372_07_00,000049.png,13,85.0,21.7939655905135,0.7186273352556887,844176.7992999994
