sequence,filename,kernel_length,kernel_angle,blend,psnr,ssim,time_ms
GOPR0372_07_00,000047.png,11,105.0,0.2,22.40048274934309,0.6884215974609454,4775.166100000206
GOPR0372_07_00,000048.png,11,105.0,0.2,21.871978117800694,0.6752714834988085,4178.581299998768
GOPR0372_07_00,000049.png,11,105.0,0.0,21.79372419018418,0.7190850166701347,4071.382600002835
GOPR0372_07_00,000050.png,11,105.0,0.0,23.605380944530886,0.7713221677683845,4613.238699999783
GOPR0372_07_00,000051.png,11,105.0,0.2,22.9696480447911,0.7238187609495444,4684.583400001429
GOPR0372_07_00,000052.png,11,105.0,0.2,22.47037273902344,0.7151186257502328,4862.14420000033
GOPR0372_07_00,000053.png,11,105.0,0.2,22.700559228346084,0.7269040914871944,4626.351799997792
GOPR0372_07_00,000054.png,11,105.0,0.2,21.08402051410072,0.6427705657611141,4459.440700000414
GOPR0372_07_00,000055.png,11,105.0,0.2,23.993975781353235,0.7754779178483627,4667.295999999624
GOPR0372_07_00,000056.png,11,105.0,0.0,23.605713271201743,0.769057506564801,4961.155600001803
GOPR0372_07_00,000057.png,11,105.0,0.2,23.86604142675658,0.7688199072693026,4193.940699999075
GOPR0372_07_00,000058.png,11,105.0,0.2,21.874782373128724,0.6698316141543376,4443.881400002283
GOPR0372_07_00,000059.png,11,105.0,0.2,23.92225445607648,0.7718374390759223,4463.834099999076
GOPR0372_07_00,000060.png,11,105.0,0.2,23.79040877017959,0.7491165784043313,4670.051199998852
GOPR0372_07_00,000061.png,11,105.0,0.2,24.68324649103042,0.7873005262885423,3895.738799998071
GOPR0372_07_00,000062.png,11,105.0,0.2,21.442806529344303,0.6564862233650799,3760.479900000064
GOPR0372_07_00,000063.png,11,105.0,0.0,22.832278673508725,0.7407654776641007,4451.061800002208
GOPR0372_07_00,000064.png,11,105.0,0.2,22.74872018745043,0.7096962257719186,3965.918400001101
GOPR0372_07_00,000065.png,11,105.0,0.2,21.39203648811211,0.6627440360178241,3741.1209999991115
GOPR0372_07_00,000066.png,11,105.0,0.2,20.476810307092755,0.6144298256017309,3833.120399998734
GOPR0372_07_00,000067.png,11,105.0,0.2,21.243535793596454,0.659771318619665,3788.104499999463
GOPR0372_07_00,000068.png,11,105.0,0.2,22.048139333457506,0.6783644221133555,4026.317100000597
GOPR0372_07_00,000069.png,11,105.0,0.2,21.648386619842643,0.677965786609878,4037.5845999988087
GOPR0372_07_00,000070.png,11,105.0,0.2,19.44631402326866,0.5859083474432003,3975.697500001843
GOPR0372_07_00,000071.png,11,105.0,0.2,24.60980131093049,0.8189914577762267,3914.3040999988443
GOPR0372_07_00,000072.png,11,105.0,0.2,22.195465289332073,0.6870659951236524,3876.900299997942
GOPR0372_07_00,000073.png,11,105.0,0.2,24.68657589167198,0.7891471298718318,3718.498300000647
GOPR0372_07_00,000074.png,11,105.0,0.0,28.735019419098784,0.91956988027591,3967.0559000005596
GOPR0372_07_00,000075.png,11,105.0,0.2,23.466489704154103,0.7485263316160252,4655.019999998331
GOPR0372_07_00,000076.png,11,105.0,0.2,22.184023634557853,0.6884123370297154,4459.760199999437
GOPR0372_07_00,000077.png,11,105.0,0.2,24.776884343902395,0.7977717521354716,3905.0029999998515
GOPR0372_07_00,000078.png,11,105.0,0.2,25.82461427321381,0.8269313773656064,4256.892900000821
GOPR0372_07_00,000079.png,11,105.0,0.2,23.80287200376315,0.7817844330194003,4030.0002000003587
GOPR0372_07_00,000080.png,11,105.0,0.0,24.61986414452577,0.8275129042101493,3886.621499998
GOPR0372_07_00,000081.png,11,105.0,0.2,20.6076859882582,0.6191291977882122,4222.5021999984165
GOPR0372_07_00,000082.png,11,105.0,0.2,21.50838038964966,0.6635346755688935,4110.845600000175
GOPR0372_07_00,000083.png,11,105.0,0.2,24.471219862824416,0.7893754869841677,3919.245100001717
GOPR0372_07_00,000084.png,11,105.0,0.0,28.297527554497336,0.9056040138956893,3930.1272999982757
GOPR0372_07_00,000085.png,11,105.0,0.2,24.85563800841139,0.7958411687577326,3726.2773999973433
GOPR0372_07_00,000086.png,11,105.0,0.2,21.605545307003567,0.6964008205197306,3956.392700001743
GOPR0372_07_00,000087.png,11,105.0,0.2,21.695233219756474,0.7013545013948418,3856.0515999997733
GOPR0372_07_00,000088.png,11,105.0,0.0,25.045180939418348,0.8347511209115465,3927.783899998758
GOPR0372_07_00,000089.png,11,105.0,0.0,23.432567762235696,0.7878045842582778,3983.7874000004376
GOPR0372_07_00,000090.png,11,105.0,0.0,23.93088775153979,0.7912754433154646,3822.1403999996255
GOPR0372_07_00,000091.png,11,105.0,0.2,23.321647559198865,0.7531703595938924,3849.527599999419
GOPR0372_07_00,000092.png,11,105.0,0.2,23.081384247983763,0.7385444162439643,3912.3367000029248
GOPR0372_07_00,000093.png,11,105.0,0.2,20.180890947197817,0.6754914999471339,3877.6808000002347
GOPR0372_07_00,000094.png,11,105.0,0.2,20.008379316874773,0.6721845080853543,3809.3700999997964
GOPR0372_07_00,000095.png,11,105.0,0.2,21.83644929897332,0.7230455975234041,3675.307100002101
GOPR0372_07_00,000096.png,11,105.0,0.2,23.171908296887693,0.7575937287577624,3796.3854000008723
GOPR0372_07_00,000097.png,11,105.0,0.2,23.537634656578078,0.7736735343368846,3786.730699997861
GOPR0372_07_00,000098.png,11,105.0,0.2,23.00704042144033,0.7545689855986236,3761.4772000015364
GOPR0372_07_00,000099.png,11,105.0,0.2,23.141349599475248,0.7515501745294713,4081.8923999977414
GOPR0372_07_00,000100.png,11,105.0,0.2,22.248101713186344,0.7199431203834744,4059.0927000012016
GOPR0372_07_00,000101.png,11,105.0,0.2,22.77912217474658,0.744326010164165,3926.0160000012547
GOPR0372_07_00,000102.png,11,105.0,0.2,21.131563045100844,0.684220408783785,4059.091700000863
GOPR0372_07_00,000103.png,11,105.0,0.0,24.375235353387712,0.8208781465944885,3938.4661999974924
GOPR0372_07_00,000104.png,11,105.0,0.2,23.061091385944565,0.7478318273006185,4402.12309999697
GOPR0372_07_00,000105.png,11,105.0,0.2,22.63496702136616,0.7413672538899672,4246.764999999868
GOPR0372_07_00,000106.png,11,105.0,0.2,22.47067937873276,0.7283560723031908,5241.82170000131
GOPR0372_07_00,000107.png,11,105.0,0.2,21.2834564526828,0.671971792812875,4149.478700001055
GOPR0372_07_00,000108.png,11,105.0,0.2,20.872631007315917,0.674313752246885,4107.9353999994055
GOPR0372_07_00,000109.png,11,105.0,0.2,22.70287887279375,0.7405637657383233,4042.5487000029534
GOPR0372_07_00,000110.png,11,105.0,0.2,26.383446594759818,0.8528282182679053,4187.212799999543
GOPR0372_07_00,000111.png,11,105.0,0.2,24.022716492114007,0.7775580946972805,4065.854500000569
GOPR0372_07_00,000112.png,11,105.0,0.2,22.590971744365294,0.7387063868720323,4223.161899997649
GOPR0372_07_00,000113.png,11,105.0,0.2,21.685977079175668,0.6897877785512972,4021.692600003007
GOPR0372_07_00,000114.png,11,105.0,0.2,21.162149353919027,0.6790067201341722,4402.84999999858
GOPR0372_07_00,000115.png,11,105.0,0.2,22.157954876436893,0.6976908492560332,4253.092499999184
GOPR0372_07_00,000116.png,11,105.0,0.2,23.435641571582295,0.737152487168664,3819.7372000031464
GOPR0372_07_00,000117.png,11,105.0,0.2,25.704279681863756,0.825426225609413,4027.3613999997906
GOPR0372_07_00,000118.png,11,105.0,0.2,25.9473737531526,0.8269275211712209,4043.54930000045
GOPR0372_07_00,000119.png,11,105.0,0.2,23.366182394459152,0.7370891849562274,4313.65630000073
GOPR0372_07_00,000120.png,11,105.0,0.2,22.218310047624655,0.6798630907839541,4660.386200001085
GOPR0372_07_00,000121.png,11,105.0,0.2,23.162908311483797,0.7267440290542941,3891.6491999989375
GOPR0372_07_00,000122.png,11,105.0,0.2,24.334471656286347,0.7665088914666672,3996.778600001562
GOPR0372_07_00,000123.png,11,105.0,0.2,23.5480130809753,0.74033576636411,4078.9310000000114
GOPR0372_07_00,000124.png,11,105.0,0.2,23.95980462167301,0.7532189170583558,3984.7559000008914
