sequence,filename,blend,confidence,psnr,ssim,time_ms
GOPR0372_07_00,000047.png,0.9,1.0,24.08440037804452,0.795605280630833,1628.5410999989836
GOPR0372_07_00,000048.png,0.9,1.0,23.447344425742095,0.7733384593515319,665.7591999992292
GOPR0372_07_00,000049.png,0.9,1.0,23.22965229878916,0.7802367274874115,681.2064999994618
GOPR0372_07_00,000050.png,0.9,1.0,24.8771746823369,0.8398504041388355,672.4498999992647
GOPR0372_07_00,000051.png,0.9,1.0,24.3052947648317,0.8108664292563649,705.5091999991419
GOPR0372_07_00,000052.png,0.9,1.0,24.060684123087192,0.8129346733350609,686.3993999995728
GOPR0372_07_00,000053.png,0.9,1.0,24.198950099713002,0.8132985982479756,665.4310000012629
GOPR0372_07_00,000054.png,0.9,1.0,23.257661892250113,0.7572066850459089,674.9991000015143
GOPR0372_07_00,000055.png,0.9,1.0,25.277982624355168,0.8534858026222091,668.2732999997825
GOPR0372_07_00,000056.png,0.9,1.0,25.02207329479557,0.8441845772145494,677.709199999299
GOPR0372_07_00,000057.png,0.9,1.0,24.886682558467044,0.8383450170334417,676.5546000005997
GOPR0372_07_00,000058.png,0.9,1.0,23.706677619771945,0.7799420172540755,681.9742000006954
GOPR0372_07_00,000059.png,0.9,1.0,25.32980069494088,0.8473715462511318,681.9118000003073
GOPR0372_07_00,000060.png,0.9,1.0,25.697484110531622,0.8563605958949911,682.0697000002838
GOPR0372_07_00,000061.png,0.9,1.0,26.231352187809858,0.8817355264516973,679.4871000001876
GOPR0372_07_00,000062.png,0.9,1.0,23.479656463212123,0.7603228528159457,683.3346000003075
GOPR0372_07_00,000063.png,0.9,1.0,24.200826846793063,0.8099123080584637,790.8392000008462
GOPR0372_07_00,000064.png,0.9,1.0,24.664828033717004,0.8130191559962499,795.8937000003061
GOPR0372_07_00,000065.png,0.9,1.0,23.208699768495595,0.7638787949990311,756.546900000103
GOPR0372_07_00,000066.png,0.9,1.0,22.5700671466682,0.7197204662586048,702.8184000009787
GOPR0372_07_00,000067.png,0.9,1.0,23.279639206529176,0.7600430954371881,740.8109000007244
GOPR0372_07_00,000068.png,0.9,1.0,24.099686691617915,0.7982144393082237,755.2277999984653
GOPR0372_07_00,000069.png,0.9,1.0,22.72833463628213,0.7510190908305532,698.1876999998349
GOPR0372_07_00,000070.png,0.9,1.0,20.841309861026254,0.6597561459724348,730.221600000732
GOPR0372_07_00,000071.png,0.9,1.0,25.341492859849126,0.8812037497471019,715.3385000001435
GOPR0372_07_00,000072.png,0.9,1.0,24.050321238115984,0.7989713326483555,717.7541999990353
GOPR0372_07_00,000073.png,0.9,1.0,26.002858270214695,0.884209732475469,731.6006000000925
GOPR0372_07_00,000074.png,0.9,1.0,27.123326886026497,0.9320677735732609,720.9289999991597
GOPR0372_07_00,000075.png,0.9,1.0,25.238352800619857,0.8588670366107416,717.214199999944
GOPR0372_07_00,000076.png,0.9,1.0,24.008466845019086,0.8001383375281873,723.088300001109
GOPR0372_07_00,000077.png,0.9,1.0,25.74736489155505,0.8816271986988712,716.9838999998319
GOPR0372_07_00,000078.png,0.9,1.0,26.391807231511578,0.8966218884763743,770.5445000010513
GOPR0372_07_00,000079.png,0.9,1.0,25.140241108684496,0.866020700172001,714.9399999998423
GOPR0372_07_00,000080.png,0.9,1.0,25.072478571578124,0.8709879942929657,699.2408000005526
GOPR0372_07_00,000081.png,0.9,1.0,22.512280909355727,0.7223633695544917,758.4657999996125
GOPR0372_07_00,000082.png,0.9,1.0,23.291241267561613,0.7681248938564988,769.6598999991693
GOPR0372_07_00,000083.png,0.9,1.0,25.68301499991756,0.8686377761194137,796.4809000004607
GOPR0372_07_00,000084.png,0.9,1.0,27.496598890141986,0.926403178338861,769.5846000005986
GOPR0372_07_00,000085.png,0.9,1.0,25.90345982041392,0.8744756699775671,767.4294999997073
GOPR0372_07_00,000086.png,0.9,1.0,23.540056850812494,0.7826455702836657,742.2029999997903
GOPR0372_07_00,000087.png,0.9,1.0,24.017761402240577,0.794877319699271,743.8541000010446
